"","Zipcode","State","City","Application","Approval","Lat","Long"
"100","10306","NY","STATEN ISLAND",16,10,40.559668,-74.12241
"101","10307","NY","STATEN ISLAND",15,9,40.510723,-74.24194
"102","10314","NY","STATEN ISLAND",485,478,40.591006,-74.150741
"103","10451","NY","BRONX",217,199,40.819329,-73.920355
"104","10452","NY","BRONX",32,19,40.838729,-73.921605
"105","10453","NY","BRONX",662,651,40.852728,-73.912455
"106","10454","NY","BRONX",21,13,40.807129,-73.918405
"107","10456","NY","BRONX",941,929,40.830529,-73.908655
"108","10457","NY","BRONX",1069,1050,40.846129,-73.898255
"109","10458","NY","BRONX",1477,1462,40.864728,-73.889855
"110","10459","NY","BRONX",324,322,40.825629,-73.893605
"111","10460","NY","BRONX",15,9,40.841829,-73.879004
"112","10461","NY","BRONX",1035,1018,40.845279,-73.843103
"113","10462","NY","BRONX",1240,1229,40.842729,-73.854703
"114","10463","NY","BRONX",20,11,40.879528,-73.904355
"115","10464","NY","BRONX",11,6,40.863028,-73.799802
"116","10466","NY","BRONX",15,9,40.859878,-73.841003
"117","10467","NY","BRONX",721,712,40.876328,-73.870404
"118","10468","NY","BRONX",500,487,40.870978,-73.900505
"119","10471","NY","BRONX",21,12,40.899178,-73.898677
"120","10471","NY","RIVERDALE",6,4,40.899178,-73.898677
"121","10472","NY","BRONX",15,9,40.829529,-73.865704
"122","10473","NY","BRONX",191,185,40.816229,-73.860304
"123","10474","NY","BRONX",297,245,40.813929,-73.884104
"124","10502","NY","ARDSLEY",5,2,41.015096,-73.841478
"125","10504","NY","ARMONK",2212,2199,41.075185,-73.761247
"126","10507","NY","BEDFORD HILLS",10,6,41.229037,-73.697998
"127","10509","NY","BREWSTER",5,3,41.415979,-73.725197
"128","10510","NY","BRIARCLIFF MANOR",5,3,41.05978,-73.829802
"129","10512","NY","CARMEL",450,448,41.429571,-73.777626
"130","10514","NY","CHAPPAQUA",5,3,41.078957,-73.775547
"131","10520","NY","CROTON ON HUDSON",5,3,41.122622,-73.867258
"132","10522","NY","DOBBS FERRY",15,9,41.011147,-73.865178
"133","10523","NY","ELMSFORD",211,194,41.058732,-73.836784
"134","10528","NY","HARRISON",16,10,40.979118,-73.723036
"135","10530","NY","HARTSDALE",152,148,41.019105,-73.812077
"136","10532","NY","HAWTHORNE",378,367,41.013742,-73.835421
"137","10533","NY","IRVINGTON",405,399,41.079553,-73.856051
"138","10536","NY","KATONAH",5,3,41.271614,-73.687334
"139","10538","NY","LARCHMONT",10,6,41.090197,-73.755284
"140","10541","NY","MAHOPAC",795,793,41.412395,-73.752059
"141","10543","NY","MAMARONECK",162,154,40.949199,-73.738779
"142","10547","NY","MOHEGAN LAKE",5,3,41.281975,-73.797555
"143","10549","NY","MOUNT KISCO",16,9,41.197329,-73.72286
"144","10550","NY","BRONX",5,3,40.909838,-73.83389
"145","10550","NY","MOUNT VERNON",35,19,40.909838,-73.83389
"146","10550","NY","MT VERNON",5,3,40.909838,-73.83389
"147","10553","NY","MOUNT VERNON",10,6,40.909449,-73.822109
"148","10560","NY","NORTH SALEM",5,2,41.331814,-73.608451
"149","10562","NY","OSSINING",597,595,41.109701,-73.827995
"150","10566","NY","PEEKSKILL",5,3,41.28383,-73.893116
"151","10567","NY","CORTLANDT MANOR",10,6,41.284044,-73.893116
"152","10570","NY","PLEASANTVILLE",235,233,41.131069,-73.792214
"153","10573","NY","PORT CHESTER",72,17,41.022193,-73.679799
"154","10573","NY","RYE BROOK",395,393,41.022193,-73.679799
"155","10577","NY","PURCHASE",3467,3132,41.002757,-73.751025
"156","10580","NY","RYE",430,414,40.955237,-73.744725
"157","10583","NY","SCARSDALE",31,18,40.992686,-73.799476
"158","10589","NY","SOMERS",7,4,41.326544,-73.693685
"159","10590","NY","SOUTH SALEM",10,6,41.254331,-73.542714
"160","10591","NY","SLEEPY HOLLOW",5,3,41.089703,-73.844034
"161","10591","NY","TARRYTOWN",2274,2002,41.089703,-73.844034
"162","10594","NY","THORNWOOD",669,661,41.117214,-73.771469
"163","10595","NY","VALHALLA",1231,1169,41.090218,-73.784768
"164","10598","NY","YORKTOWN HEIGHTS",10,6,41.287329,-73.790284
"165","10601","NY","WHITE PLAINS",3113,2948,41.031397,-73.769626
"166","10603","NY","WHITE PLAINS",344,334,41.048958,-73.783036
"167","10604","NY","WEST HARRISON",659,637,41.156215,-73.805176
"168","10604","NY","WHITE PLAINS",10,6,41.156215,-73.805176
"169","10605","NY","WHITE PLAINS",157,151,41.007597,-73.748575
"170","10606","NY","WHITE PLAINS",906,883,41.021686,-73.766044
"171","10607","NY","WHITE PLAINS",5,3,41.039235,-73.807293
"172","10701","NY","YONKERS",1010,990,40.946107,-73.866926
"173","10703","NY","YONKERS",187,183,40.959347,-73.881329
"174","10704","NY","YONKERS",15,9,40.922938,-73.861941
"175","10706","NY","HASTINGS ON HUDSON",5,3,40.987797,-73.862969
"176","10707","NY","TUCKAHOE",10,6,40.960498,-73.816127
"177","10707","NY","YONKERS",5,3,40.960498,-73.816127
"178","10708","NY","BRONXVILLE",21,13,40.938448,-73.829978
"179","10710","NY","YONKERS",10,6,40.967946,-73.84736
"180","10801","NY","NEW ROCHELLE",602,500,41.035123,-73.801401
"181","10802","NY","NEW ROCHELLE",5,2,40.948274,-73.795361
"182","10804","NY","NEW ROCHELLE",5,2,40.951498,-73.786526
"183","10805","NY","NEW ROCHELLE",181,179,40.899599,-73.780976
"184","10901","NY","SUFFERN",10,6,41.137295,-74.105737
"185","10913","NY","BLAUVELT",5,3,41.068782,-73.957282
"186","10916","NY","CAMPBELL HALL",5,3,41.443168,-74.258172
"187","10919","NY","CIRCLEVILLE",182,180,41.53156,-74.370569
"188","10920","NY","CONGERS",163,154,41.152545,-73.936305
"189","10923","NY","GARNERVILLE",147,145,41.203984,-74.003167
"190","10926","NY","HARRIMAN",5,3,41.300486,-74.124934
"191","10930","NY","HIGHLAND MILLS",5,3,41.372924,-74.245108
"192","10940","NY","MIDDLETOWN",66,15,41.390109,-74.340401
"193","10952","NY","AIRMONT",5,3,41.118595,-74.084536
"194","10952","NY","MONSEY",10,6,41.118595,-74.084536
"195","10953","NY","MOUNTAINVILLE",182,179,41.409284,-74.083045
"196","10954","NY","NANUET",5,3,41.097716,-74.010934
"197","10956","NY","NEW CITY",232,184,41.149494,-73.98827
"198","10960","NY","NYACK",16,9,41.080474,-73.930179
"199","10962","NY","ORANGEBURG",957,949,41.057496,-73.953181
"200","10965","NY","PEARL RIVER",791,781,41.061476,-74.018283
"201","10970","NY","POMONA",16,10,41.18416,-74.045358
"202","10977","NY","CHESTNUT RIDGE",10,6,41.115833,-74.047384
"203","10977","NY","SPRING VALLEY",648,642,41.115833,-74.047384
"204","10981","NY","SUGAR LOAF",181,179,41.323172,-74.288565
"205","10982","NY","TALLMAN",5,3,41.160945,-74.060826
"206","10983","NY","TAPPAN",691,683,41.027646,-73.948404
"207","10987","NY","TUXEDO PARK",5,2,41.28142,-74.204924
"208","10989","NY","VALLEY COTTAGE",415,410,41.122868,-73.934844
"209","10990","NY","WARWICK",5,3,41.350681,-74.32116
"210","10994","NY","WEST NYACK",30,17,41.100622,-73.970482
"211","10996","NY","WEST POINT",148,146,41.36471,-73.998375
"212","11001","NY","FLORAL PARK",1608,1583,40.720051,-73.706783
"213","11003","NY","ELMONT",5,2,40.697558,-73.704946
"214","11004","NY","FLORAL PARK",5,3,40.745263,-73.711159
"215","11004","NY","GLEN OAKS",5,3,40.745263,-73.711159
"216","11010","NY","FRANKLIN SQUARE",191,183,40.700101,-73.674074
"217","11021","NY","GREAT NECK",2814,2712,40.754757,-73.601772
"218","11023","NY","GREAT NECK",801,629,40.754757,-73.601772
"219","11030","NY","MANHASSET",734,730,40.754757,-73.601772
"220","11040","NY","GARDEN CITY PARK",10,6,40.729351,-73.682824
"221","11040","NY","MANHASSET HILLS",5,3,40.729351,-73.682824
"222","11040","NY","NEW HYDE PARK",350,326,40.729351,-73.682824
"223","11042","NY","LAKE SUCCESS",755,743,40.754757,-73.601772
"224","11042","NY","NEW HYDE PARK",621,501,40.754757,-73.601772
"225","11050","NY","PORT WASHINGTON",2845,2674,40.754757,-73.601772
"226","11096","NY","INWOOD",10,5,40.620492,-73.747376
"227","11101","NY","LONG ISLAND CITY",5731,5333,40.744622,-73.934502
"228","11102","NY","ASTORIA",5,3,40.770808,-73.92516
"229","11102","NY","LONG ISLAND CITY",5,3,40.770808,-73.92516
"230","11103","NY","ASTORIA",21,10,40.761884,-73.911642
"231","11103","NY","LONG ISLAND CITY",5,3,40.761884,-73.911642
"232","11104","NY","SUNNYSIDE",10,5,40.742794,-73.918216
"233","11105","NY","ASTORIA",319,305,40.776468,-73.908761
"234","11105","NY","LONG ISLAND CITY",5,2,40.776468,-73.908761
"235","11106","NY","ASTORIA",538,511,40.760601,-73.930984
"236","11106","NY","LONG ISLAND",5,3,40.760601,-73.930984
"237","11106","NY","LONG ISLAND CITY",10,6,40.760601,-73.930984
"238","11201","NY","BROOKLYN",6956,6554,40.694481,-73.989319
"239","11203","NY","BROOKLYN",1685,1666,40.663551,-73.949389
"240","11204","NY","BROOKLYN",434,421,40.603838,-73.987635
"241","11205","NY","BROOKLYN",373,336,40.682507,-73.936274
"242","11206","NY","BROOKLYN",896,862,40.700453,-73.949255
"243","11207","NY","BROOKLYN",334,328,40.670925,-73.895216
"244","11208","NY","BROOKLYN",162,154,40.662195,-73.912945
"245","11209","NY","BROOKLYN",30,16,40.622459,-74.028749
"246","11210","NY","BROOKLYN",378,368,40.625468,-73.945521
"247","11211","NY","BROOKLYN",399,354,40.707789,-73.945344
"248","11212","NY","BROOKLYN",576,563,40.663845,-73.916406
"249","11213","NY","BROOKLYN",563,557,40.67317,-73.936055
"250","11214","NY","BROOKLYN",413,393,40.599523,-73.998594
"251","11215","NY","BROOKLYN",1522,1483,40.664322,-73.984132
"252","11216","NY","BROOKLYN",250,242,40.680474,-73.946829
"253","11217","NY","BROOKLYN",41,23,40.684948,-73.980613
"254","11218","NY","BROOKLYN",970,959,40.64434,-73.978411
"255","11219","NY","BROOKLYN",603,586,40.633157,-73.996953
"256","11220","NY","BROOKLYN",1023,966,40.634873,-74.016905
"257","11221","NY","BROOKLYN",5,2,40.700418,-73.936764
"258","11222","NY","BROOKLYN",352,319,40.728388,-73.945754
"259","11223","NY","BROOKLYN",45,25,40.633801,-73.954405
"260","11224","NY","BROOKLYN",5,3,40.635444,-73.968536
"261","11225","NY","BROOKLYN",5,3,40.661096,-73.952295
"262","11226","NY","BROOKLYN",21,12,40.644962,-73.956304
"263","11228","NY","BROOKLYN",10,6,40.624552,-73.989853
"264","11229","NY","BROOKLYN",15,8,40.600988,-73.939998
"265","11230","NY","BROOKLYN",20,11,40.62251,-73.966109
"266","11231","NY","BROOKLYN",473,454,40.676521,-74.003322
"267","11232","NY","BROOKLYN",258,221,40.671186,-73.971708
"268","11233","NY","BROOKLYN",5,3,40.682088,-73.920638
"269","11234","NY","BROOKLYN",10,6,40.610947,-73.913892
"270","11235","NY","BROOKLYN",351,329,40.584455,-73.948402
"271","11236","NY","BROOKLYN",10,5,40.65701,-73.91581
"272","11237","NY","BROOKLYN",480,461,40.702192,-73.91807
"273","11238","NY","BROOKLYN",221,203,40.680593,-73.963928
"274","11241","NY","BROOKLYN",5,3,40.645099,-73.945032
"275","11249","NY","BROOKLYN",1278,1196,40.645099,-73.945032
"276","11352","NY","FLUSHING",5,3,40.651378,-73.870779
"277","11354","NY","COLLEGE POINT",5,2,40.766382,-73.82619
"278","11354","NY","FLUSHING",7339,6857,40.766382,-73.82619
"279","11355","NY","FLUSHING",3213,2758,40.750317,-73.813903
"280","11356","NY","COLLEGE POINT",204,177,40.784369,-73.843641
"281","11357","NY","WHITESTONE",559,474,40.786173,-73.819069
"282","11358","NY","FLUSHING",47,24,40.760426,-73.795788
"283","11360","NY","BAYSIDE",5,3,40.756745,-73.803301
"284","11361","NY","BAYSIDE",527,500,40.764438,-73.773026
"285","11362","NY","DOUGLASTON",5,3,40.758364,-73.735759
"286","11362","NY","LITTLE NECK",26,14,40.758364,-73.735759
"287","11363","NY","DOUGLASTON",5,3,40.771467,-73.745323
"288","11364","NY","BAYSIDE",5,3,40.742772,-73.758831
"289","11364","NY","OAKLAND GARDENS",5,3,40.742772,-73.758831
"290","11365","NY","FRESH MEADOWS",36,20,40.738884,-73.790067
"291","11366","NY","FRESH MEADOWS",5,3,40.727277,-73.790772
"292","11367","NY","FLUSHING",344,334,40.730164,-73.821997
"293","11367","NY","QUEENS",6,4,40.730164,-73.821997
"294","11368","NY","CORONA",21,13,40.748751,-73.854333
"295","11368","NY","FLUSING",5,2,40.748751,-73.854333
"296","11369","NY","EAST ELMHURST",5,3,40.762741,-73.869969
"297","11369","NY","FLUSHING",5,3,40.762741,-73.869969
"298","11370","NY","EAST ELMHURST",304,302,40.763771,-73.891451
"299","11371","NY","FLUSHING",152,148,40.7712,-73.867514
"300","11372","NY","JACKSON HEIGHTS",264,171,40.751146,-73.882508
"301","11373","NY","ELMHURST",1348,1311,40.73509,-73.877562
"302","11374","NY","REGO PARK",236,221,40.722861,-73.862069
"303","11375","NY","FOREST HILLS",1221,1120,40.723041,-73.843688
"304","11375","NY","REGO PARK",5,3,40.723041,-73.843688
"305","11377","NY","WOODSIDE",233,169,40.748372,-73.905445
"306","11378","NY","MASPETH",359,326,40.722848,-73.908413
